Date,Price,Open,High,Low,Vol.,Change %
1/5/2007,1409.71,"1,418.34","1,418.34","1,405.75",-,-0.61%
1/8/2007,1412.84,"1,409.26","1,414.98","1,403.97",-,0.22%
1/9/2007,1412.11,"1,412.84","1,415.61","1,405.42",-,-0.05%
1/10/2007,1414.85,"1,408.70","1,415.99","1,405.32",-,0.19%
1/11/2007,1423.82,"1,414.84","1,427.12","1,414.84",-,0.63%
1/12/2007,1430.73,"1,423.82","1,431.23","1,422.58",-,0.49%
1/16/2007,1431.9,"1,430.73","1,433.93","1,428.62",-,0.08%
1/17/2007,1430.62,"1,431.77","1,435.27","1,428.57",-,-0.09%
1/18/2007,1426.37,"1,430.59","1,432.96","1,424.21",-,-0.30%
1/19/2007,1430.5,"1,426.35","1,431.57","1,425.19",-,0.29%
1/22/2007,1422.95,"1,430.47","1,431.39","1,420.40",-,-0.53%
1/23/2007,1427.99,"1,422.95","1,431.33","1,421.66",-,0.35%
1/24/2007,1440.13,"1,427.96","1,440.14","1,427.96",-,0.85%
1/25/2007,1423.9,"1,440.12","1,440.69","1,422.34",-,-1.13%
1/26/2007,1422.18,"1,423.90","1,427.27","1,416.96",-,-0.12%
1/29/2007,1420.62,"1,422.03","1,426.94","1,418.46",-,-0.11%
1/30/2007,1428.82,"1,420.61","1,428.82","1,420.61",-,0.58%
1/31/2007,1438.24,"1,428.65","1,441.61","1,424.78",-,0.66%
2/1/2007,1445.94,"1,437.90","1,446.64","1,437.90",-,0.54%
2/2/2007,1448.39,"1,445.94","1,449.33","1,444.49",-,0.17%
2/5/2007,1446.99,"1,448.33","1,449.38","1,443.85",-,-0.10%
2/6/2007,1448,"1,446.98","1,450.19","1,443.40",-,0.07%
2/7/2007,1450.02,"1,447.41","1,452.99","1,446.44",-,0.14%
2/8/2007,1448.31,"1,449.99","1,450.45","1,442.81",-,-0.12%
2/9/2007,1438.06,"1,448.25","1,452.45","1,433.44",-,-0.71%
2/12/2007,1433.37,"1,438.00","1,439.11","1,431.44",-,-0.33%
2/13/2007,1444.26,"1,433.22","1,444.41","1,433.22",-,0.76%
2/14/2007,1455.3,"1,443.91","1,457.65","1,443.91",-,0.76%
2/15/2007,1456.81,"1,455.15","1,457.97","1,453.19",-,0.10%
2/16/2007,1455.54,"1,456.77","1,456.77","1,451.57",-,-0.09%
2/20/2007,1459.68,"1,455.53","1,460.53","1,449.20",-,0.28%
2/21/2007,1457.63,"1,459.60","1,459.60","1,452.02",-,-0.14%
2/22/2007,1456.38,"1,457.29","1,461.57","1,450.51",-,-0.09%
2/23/2007,1451.19,"1,456.22","1,456.22","1,448.36",-,-0.36%
2/26/2007,1449.37,"1,451.04","1,456.95","1,445.48",-,-0.13%
2/27/2007,1399.04,"1,449.25","1,449.25","1,389.42",-,-3.47%
2/28/2007,1406.82,"1,398.64","1,415.89","1,396.65",-,0.56%
3/1/2007,1403.17,"1,406.80","1,409.46","1,380.87",-,-0.26%
3/2/2007,1387.17,"1,403.16","1,403.40","1,386.87",-,-1.14%
3/5/2007,1374.12,"1,387.11","1,391.86","1,373.97",-,-0.94%
3/6/2007,1395.41,"1,374.06","1,397.90","1,374.06",-,1.55%
3/7/2007,1391.97,"1,395.02","1,401.16","1,390.64",-,-0.25%
3/8/2007,1401.89,"1,391.88","1,407.93","1,391.88",-,0.71%
3/9/2007,1402.84,"1,401.89","1,410.15","1,397.30",-,0.07%
3/12/2007,1406.6,"1,402.80","1,409.34","1,398.40",-,0.27%
3/13/2007,1377.95,"1,406.23","1,406.23","1,377.71",-,-2.04%
3/14/2007,1387.17,"1,377.86","1,388.09","1,363.98",-,0.67%
3/15/2007,1392.28,"1,387.11","1,395.73","1,385.16",-,0.37%
3/16/2007,1386.95,"1,392.28","1,397.51","1,383.63",-,-0.38%
3/19/2007,1402.06,"1,386.95","1,403.20","1,386.95",-,1.09%
3/20/2007,1410.94,"1,402.04","1,411.53","1,400.70",-,0.63%
3/21/2007,1435.04,"1,410.92","1,437.77","1,409.75",-,1.71%
3/22/2007,1434.54,"1,435.04","1,437.66","1,429.88",-,-0.03%
3/23/2007,1436.11,"1,434.54","1,438.89","1,433.21",-,0.11%
3/26/2007,1437.5,"1,436.11","1,437.65","1,423.28",-,0.10%
3/27/2007,1428.61,"1,437.49","1,437.49","1,425.54",-,-0.62%
3/28/2007,1417.23,"1,428.35","1,428.35","1,414.07",-,-0.80%
3/29/2007,1422.53,"1,417.17","1,426.24","1,413.27",-,0.37%
3/30/2007,1420.86,"1,422.52","1,429.22","1,408.90",-,-0.12%
4/2/2007,1424.55,"1,420.83","1,425.49","1,416.37",-,0.26%
4/3/2007,1437.77,"1,424.27","1,440.57","1,424.27",-,0.93%
4/4/2007,1439.37,"1,437.75","1,440.16","1,435.08",-,0.11%
4/5/2007,1443.76,"1,438.94","1,444.88","1,436.67",-,0.30%
4/9/2007,1444.61,"1,443.77","1,448.10","1,443.28",-,0.06%
4/10/2007,1448.39,"1,444.58","1,448.73","1,443.99",-,0.26%
4/11/2007,1438.87,"1,448.23","1,448.39","1,436.15",-,-0.66%
4/12/2007,1447.8,"1,438.87","1,448.02","1,433.91",-,0.62%
4/13/2007,1452.85,"1,447.80","1,453.11","1,444.15",-,0.35%
4/16/2007,1468.33,"1,452.84","1,468.62","1,452.84",-,1.07%
4/17/2007,1471.48,"1,468.47","1,474.35","1,467.15",-,0.21%
4/18/2007,1472.5,"1,471.47","1,476.57","1,466.41",-,0.07%
4/19/2007,1470.73,"1,472.48","1,474.23","1,464.47",-,-0.12%
4/20/2007,1484.35,"1,470.69","1,484.74","1,470.69",-,0.93%
4/23/2007,1480.93,"1,484.33","1,487.32","1,480.19",-,-0.23%
4/24/2007,1480.41,"1,480.93","1,483.82","1,473.74",-,-0.04%
4/25/2007,1495.42,"1,480.28","1,496.59","1,480.28",-,1.01%
4/26/2007,1494.25,"1,495.27","1,498.02","1,491.17",-,-0.08%
4/27/2007,1494.07,"1,494.21","1,497.32","1,488.67",-,-0.01%
4/30/2007,1482.37,"1,494.07","1,497.16","1,482.29",-,-0.78%
5/1/2007,1486.3,"1,482.37","1,487.27","1,476.70",-,0.27%
5/2/2007,1495.92,"1,486.13","1,499.10","1,486.13",-,0.65%
5/3/2007,1502.39,"1,495.56","1,503.34","1,495.56",-,0.43%
5/4/2007,1505.62,"1,502.35","1,510.34","1,501.80",-,0.21%
5/7/2007,1509.48,"1,505.57","1,511.00","1,505.54",-,0.26%
5/8/2007,1507.72,"1,509.36","1,509.36","1,500.66",-,-0.12%
5/9/2007,1512.58,"1,507.32","1,513.80","1,503.77",-,0.32%
